embedding model,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted,,,infection precision,infection recall,infection f1-score,PPI precision,PPI recall,PPI f1-score,accuracy,weighted precision,weighted recall,weighted f1-score,ROC macro,ROC weighted
Node2vec,0.9,0.9,0.9,0.888888889,0.782608696,0.832369942,0.8984375,0.859790589,0.8984375,0.873351469,0.811341852,0.852403641,,alpha,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Node2vec,1,0.3,0.461538462,0.865671642,0.630434783,0.729559748,0.885653409,0.854045585,0.885653409,0.860232646,0.81137521,0.847571077,,reject Null?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Node2vec,1,0.2,0.333333333,0.92,0.75,0.826347305,0.903409091,0.867345718,0.903409091,0.875116034,0.810342334,0.848213073,,,,,,,,,,,,,,
Node2vec,0.833333333,0.5,0.625,0.884057971,0.663043478,0.757763975,0.8984375,0.873848755,0.8984375,0.871593717,0.805210499,0.843708088,,,,,,,,,,,,,,
Node2vec,0.666666667,0.2,0.307692308,0.875,0.760869565,0.813953488,0.897727273,0.850287412,0.897727273,0.870851295,0.817939274,0.849991793,,,,,,,,,,,,,,
Node2vec,0.5,0.4,0.444444444,0.85,0.554347826,0.671052632,0.880681818,0.836652998,0.880681818,0.85380045,0.780860108,0.8166885,,,,,,,,,,,,,,
Node2vec,1,0.4,0.571428571,0.925373134,0.673913043,0.779874214,0.892045455,0.848851649,0.892045455,0.865554169,0.798827109,0.843799245,,,,,,,,,,,,,,
Node2vec,0.8,0.4,0.533333333,0.880597015,0.641304348,0.742138365,0.884232955,0.847237487,0.884232955,0.859201065,0.807517117,0.843638923,,,,,,,,,,,,,,
Node2vec,1,0.8,0.888888889,0.885057471,0.836956522,0.860335196,0.909090909,0.860384509,0.909090909,0.883026988,0.809906163,0.848575729,,,,,,,,,,,,,,
Node2vec,0.6,0.3,0.4,0.9,0.586956522,0.710526316,0.883522727,0.840384615,0.883522727,0.856263141,0.8069894,0.836850626,,,,,,,,,,,,,,
Node2vec,0.75,0.3,0.428571429,0.8875,0.77173913,0.825581395,0.891335227,0.84864552,0.891335227,0.866807486,0.822149387,0.855139713,,,,,,,,,,,,,,
Node2vec,1,0.7,0.823529412,0.871428571,0.663043478,0.75308642,0.891335227,0.843995809,0.891335227,0.86334465,0.796563369,0.836843834,,,,,,,,,,,,,,
Node2vec,0.75,0.6,0.666666667,0.875,0.760869565,0.813953488,0.887784091,0.849928698,0.887784091,0.864492411,0.811065394,0.850018337,,,,,,,,,,,,,,
Node2vec,1,0.2,0.333333333,0.914285714,0.695652174,0.790123457,0.900568182,0.861913393,0.900568182,0.87243105,0.80191984,0.839105075,,,,,,,,,,,,,,
Node2vec,0.666666667,0.6,0.631578947,0.892307692,0.630434783,0.738853503,0.889204545,0.844762529,0.889204545,0.8627573,0.81427795,0.857808948,,,,,,,,,,,,,,
Node2vec,1,0.3,0.461538462,0.847058824,0.782608696,0.813559322,0.891335227,0.847835014,0.891335227,0.86645615,0.79470338,0.82470505,,,,,,,,,,,,,,
Node2vec,1,0.1,0.181818182,0.914285714,0.695652174,0.790123457,0.887784091,0.845475312,0.887784091,0.860167238,0.803785076,0.836433567,,,,,,,,,,,,,,
Node2vec,0.6,0.6,0.6,0.949367089,0.815217391,0.877192982,0.904829545,0.872422119,0.904829545,0.882805164,0.800364921,0.840866543,,,,,,,,,,,,,,
Node2vec,0.875,0.7,0.777777778,0.891891892,0.717391304,0.795180723,0.897017045,0.851404256,0.897017045,0.870842843,0.796396732,0.837562581,,,,,,,,,,,,,,
Node2vec,0.625,0.5,0.555555556,0.901408451,0.695652174,0.785276074,0.8984375,0.858545225,0.8984375,0.87183577,0.822362046,0.857444058,,,,,,,,,,,,,,
Node2vec,1,0.1,0.181818182,0.863013699,0.684782609,0.763636364,0.892755682,0.846926062,0.892755682,0.863811292,0.799145368,0.833926377,,,,,,,,,,,,,,
Node2vec,0.75,0.6,0.666666667,0.876712329,0.695652174,0.775757576,0.897017045,0.856261779,0.897017045,0.871243999,0.805424531,0.842655926,,,,,,,,,,,,,,
Node2vec,0.666666667,0.2,0.307692308,0.905405405,0.72826087,0.807228916,0.897017045,0.858158509,0.897017045,0.869307666,0.788776215,0.830379954,,,,,,,,,,,,,,
Node2vec,0.857142857,0.6,0.705882353,0.866666667,0.706521739,0.778443114,0.891335227,0.84740683,0.891335227,0.866375132,0.806884331,0.847258873,,,,,,,,,,,,,,
Node2vec,1,0.4,0.571428571,0.888888889,0.695652174,0.780487805,0.896306818,0.864229841,0.896306818,0.870774806,0.824960429,0.859840387,,,,,,,,,,,,,,
Node2vec,0.777777778,0.7,0.736842105,0.919354839,0.619565217,0.74025974,0.894176136,0.855287923,0.894176136,0.868670213,0.813277554,0.850072821,,,,,,,,,,,,,,
Node2vec,0.666666667,0.2,0.307692308,0.902439024,0.804347826,0.850574713,0.897017045,0.853851486,0.897017045,0.872447961,0.817923948,0.852938354,,,,,,,,,,,,,,
Node2vec,0.666666667,0.2,0.307692308,0.898550725,0.673913043,0.770186335,0.896306818,0.848842023,0.896306818,0.868120034,0.814392313,0.85305838,,,,,,,,,,,,,,
Node2vec,0.7,0.7,0.7,0.887096774,0.597826087,0.714285714,0.892045455,0.843316235,0.892045455,0.863036925,0.819426926,0.849634767,,,,,,,,,,,,,,
Deepwalk,1,0.9,0.947368421,0.880952381,0.804347826,0.840909091,0.896306818,0.876329262,0.896306818,0.884073844,0.913842506,0.932499995,,infection f1-score t-test,0.001053575,0.002055327,0.000139169,1.30056E-08,1.36733E-05,1.53597E-09,7.26324E-41,2.08444E-48,7.26324E-41,4.55814E-38,4.16134E-30,8.85867E-28
Deepwalk,0.8,0.8,0.8,0.871287129,0.956521739,0.911917098,0.896306818,0.865752295,0.896306818,0.879810141,0.917948521,0.943632231,,alpha,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Deepwalk,1,0.6,0.75,0.91954023,0.869565217,0.893854749,0.901988636,0.880718459,0.901988636,0.889114874,0.906100548,0.932685682,,reject Null?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Deepwalk,0.888888889,0.8,0.842105263,0.86746988,0.782608696,0.822857143,0.897727273,0.869370404,0.897727273,0.881055783,0.924235486,0.945212677,,,,,,,,,,,,,,
Deepwalk,0.857142857,0.6,0.705882353,0.897435897,0.760869565,0.823529412,0.892045455,0.868502282,0.892045455,0.877490156,0.927516418,0.946617203,,,,,,,,,,,,,,
Deepwalk,1,0.4,0.571428571,0.875,0.760869565,0.813953488,0.892045455,0.86662235,0.892045455,0.875625414,0.893341015,0.917846981,,,,,,,,,,,,,,
Deepwalk,0.857142857,0.6,0.705882353,0.884615385,0.75,0.811764706,0.891335227,0.868953087,0.891335227,0.876920919,0.908950086,0.924954926,,,,,,,,,,,,,,
Deepwalk,1,0.6,0.75,0.872093023,0.815217391,0.842696629,0.893465909,0.872327263,0.893465909,0.880774191,0.894237315,0.926942747,,,,,,,,,,,,,,
Deepwalk,0.625,0.5,0.555555556,0.869565217,0.869565217,0.869565217,0.887073864,0.867556555,0.887073864,0.875732545,0.905997206,0.929131312,,,,,,,,,,,,,,
Deepwalk,0.833333333,0.5,0.625,0.860215054,0.869565217,0.864864865,0.902698864,0.875642393,0.902698864,0.885398204,0.93032661,0.939906833,,,,,,,,,,,,,,
Deepwalk,0.888888889,0.8,0.842105263,0.903614458,0.815217391,0.857142857,0.897727273,0.876892778,0.897727273,0.884813229,0.915623772,0.935293334,,,,,,,,,,,,,,
Deepwalk,0.8,0.4,0.533333333,0.896551724,0.847826087,0.87150838,0.907670455,0.884015537,0.907670455,0.889290158,0.903476664,0.927841838,,,,,,,,,,,,,,
Deepwalk,0.833333333,1,0.909090909,0.81443299,0.858695652,0.835978836,0.895596591,0.870739774,0.895596591,0.880128651,0.906771808,0.928981236,,,,,,,,,,,,,,
Deepwalk,0.818181818,0.9,0.857142857,0.858695652,0.858695652,0.858695652,0.882102273,0.862936185,0.882102273,0.870374676,0.910981404,0.934641511,,,,,,,,,,,,,,
Deepwalk,0.444444444,0.4,0.421052632,0.888888889,0.782608696,0.832369942,0.887784091,0.863622462,0.887784091,0.873904036,0.903280906,0.932892112,,,,,,,,,,,,,,
Deepwalk,0.75,0.9,0.818181818,0.965116279,0.902173913,0.93258427,0.904119318,0.876598902,0.904119318,0.888326203,0.908084527,0.940639344,,,,,,,,,,,,,,
Deepwalk,0.666666667,0.4,0.5,0.872340426,0.891304348,0.88172043,0.897727273,0.871708927,0.897727273,0.882636577,0.901860599,0.919285959,,,,,,,,,,,,,,
Deepwalk,0.833333333,0.5,0.625,0.9,0.782608696,0.837209302,0.894176136,0.872396811,0.894176136,0.879679886,0.906615013,0.931644972,,,,,,,,,,,,,,
Deepwalk,0.714285714,0.5,0.588235294,0.84375,0.880434783,0.861702128,0.886363636,0.865467723,0.886363636,0.874838024,0.914781685,0.939611809,,,,,,,,,,,,,,
Deepwalk,1,0.6,0.75,0.842696629,0.815217391,0.828729282,0.889204545,0.863460199,0.889204545,0.873033509,0.892630793,0.924197066,,,,,,,,,,,,,,
Deepwalk,0.75,0.6,0.666666667,0.840909091,0.804347826,0.822222222,0.891335227,0.86392626,0.891335227,0.875284049,0.904862937,0.928915222,,,,,,,,,,,,,,
Deepwalk,0.857142857,0.6,0.705882353,0.855555556,0.836956522,0.846153846,0.8984375,0.870428382,0.8984375,0.880308979,0.904171317,0.920956828,,,,,,,,,,,,,,
Deepwalk,0.666666667,0.6,0.631578947,0.903614458,0.815217391,0.857142857,0.891335227,0.871172271,0.891335227,0.879515526,0.904535498,0.93221604,,,,,,,,,,,,,,
Deepwalk,1,0.2,0.333333333,0.862068966,0.815217391,0.837988827,0.903409091,0.882285171,0.903409091,0.885025313,0.901389149,0.938816061,,,,,,,,,,,,,,
Deepwalk,0.6,0.3,0.4,0.934065934,0.923913043,0.928961749,0.896306818,0.869449611,0.896306818,0.880885958,0.886131243,0.917613385,,,,,,,,,,,,,,
Deepwalk,0.545454545,0.6,0.571428571,0.846938776,0.902173913,0.873684211,0.900568182,0.87932732,0.900568182,0.887386467,0.919758851,0.936830111,,,,,,,,,,,,,,
Deepwalk,1,0.3,0.461538462,0.86746988,0.782608696,0.822857143,0.893465909,0.870490866,0.893465909,0.877660342,0.901978735,0.919856328,,,,,,,,,,,,,,
Deepwalk,0.777777778,0.7,0.736842105,0.887640449,0.858695652,0.872928177,0.902698864,0.878943662,0.902698864,0.884054629,0.892812813,0.919862207,,,,,,,,,,,,,,
Deepwalk,0.888888889,0.8,0.842105263,0.872093023,0.815217391,0.842696629,0.889914773,0.864375733,0.889914773,0.875232017,0.891340329,0.913483429,,,,,,,,,,,,,,
Deepwalk,0.545454545,0.6,0.571428571,0.83908046,0.793478261,0.815642458,0.892045455,0.866401608,0.892045455,0.87620734,0.894401988,0.916298386,,,,,,,,,,,,,,
SDNE,0.888888889,0.8,0.842105263,0.743589744,0.630434783,0.682352941,0.830965909,0.817844432,0.830965909,0.822316607,0.934923391,0.942654876,,infection f1-score t-test,1.987E-07,0.250571957,0.003234905,4.98019E-18,5.44449E-13,1.40364E-17,1.1928E-34,6.18831E-35,1.1928E-34,1.55659E-36,1.6407E-23,1.48704E-28
SDNE,0.909090909,1,0.952380952,0.734042553,0.75,0.741935484,0.823863636,0.812244307,0.823863636,0.816986245,0.935880136,0.938439859,,alpha,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
SDNE,0.545454545,0.6,0.571428571,0.877777778,0.858695652,0.868131868,0.84375,0.836818296,0.84375,0.83974765,0.943862173,0.956090121,,reject Null?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SDNE,0.666666667,0.8,0.727272727,0.757575758,0.815217391,0.785340314,0.822443182,0.806632303,0.822443182,0.813301501,0.932439242,0.943298273,,,,,,,,,,,,,,
SDNE,0.538461538,0.7,0.608695652,0.771084337,0.695652174,0.731428571,0.837357955,0.829453829,0.837357955,0.831411609,0.941994092,0.952563657,,,,,,,,,,,,,,
SDNE,0.333333333,0.2,0.25,0.794871795,0.673913043,0.729411765,0.8125,0.806087737,0.8125,0.806451185,0.918773373,0.940654547,,,,,,,,,,,,,,
SDNE,0.833333333,0.5,0.625,0.71875,0.75,0.734042553,0.834517045,0.818173188,0.834517045,0.823433895,0.930585134,0.943260657,,,,,,,,,,,,,,
SDNE,1,0.9,0.947368421,0.785714286,0.836956522,0.810526316,0.839488636,0.823838587,0.839488636,0.82958646,0.933552168,0.94480936,,,,,,,,,,,,,,
SDNE,0.5,0.4,0.444444444,0.801980198,0.880434783,0.839378238,0.814630682,0.794983666,0.814630682,0.803301776,0.925824646,0.941586241,,,,,,,,,,,,,,
SDNE,0.818181818,0.9,0.857142857,0.869047619,0.793478261,0.829545455,0.824573864,0.812565778,0.824573864,0.817527792,0.938991918,0.948603923,,,,,,,,,,,,,,
SDNE,0.9,0.9,0.9,0.731182796,0.739130435,0.735135135,0.827414773,0.814542956,0.827414773,0.820188422,0.939576475,0.946740993,,,,,,,,,,,,,,
SDNE,0.833333333,1,0.909090909,0.73255814,0.684782609,0.707865169,0.825994318,0.812854824,0.825994318,0.817554165,0.938141035,0.948790964,,,,,,,,,,,,,,
SDNE,1,0.9,0.947368421,0.840909091,0.804347826,0.822222222,0.840198864,0.837866733,0.840198864,0.838570459,0.970430591,0.962885108,,,,,,,,,,,,,,
SDNE,0.571428571,0.8,0.666666667,0.75,0.684782609,0.715909091,0.777698864,0.762111963,0.777698864,0.767218379,0.929992237,0.936647678,,,,,,,,,,,,,,
SDNE,0.888888889,0.8,0.842105263,0.6875,0.717391304,0.70212766,0.806107955,0.797465886,0.806107955,0.800943196,0.932712129,0.940619003,,,,,,,,,,,,,,
SDNE,0.636363636,0.7,0.666666667,0.879518072,0.793478261,0.834285714,0.825284091,0.812211344,0.825284091,0.817874831,0.92942525,0.940502918,,,,,,,,,,,,,,
SDNE,0.5625,0.9,0.692307692,0.795918367,0.847826087,0.821052632,0.842329545,0.826589558,0.842329545,0.832306588,0.959411996,0.960679139,,,,,,,,,,,,,,
SDNE,0.666666667,0.6,0.631578947,0.7875,0.684782609,0.73255814,0.801846591,0.794320702,0.801846591,0.795637374,0.928158004,0.942430972,,,,,,,,,,,,,,
SDNE,0.833333333,0.5,0.625,0.777777778,0.684782609,0.728323699,0.8125,0.801046206,0.8125,0.804166403,0.92735618,0.94323631,,,,,,,,,,,,,,
SDNE,0.666666667,0.6,0.631578947,0.693877551,0.739130435,0.715789474,0.806818182,0.799865584,0.806818182,0.801770192,0.93403452,0.941378383,,,,,,,,,,,,,,
SDNE,0.545454545,0.6,0.571428571,0.781609195,0.739130435,0.759776536,0.838778409,0.830310525,0.838778409,0.833892968,0.934201474,0.950317293,,,,,,,,,,,,,,
SDNE,0.625,0.5,0.555555556,0.777777778,0.836956522,0.806282723,0.828835227,0.818327453,0.828835227,0.821677941,0.939468075,0.951061343,,,,,,,,,,,,,,
SDNE,0.692307692,0.9,0.782608696,0.769230769,0.652173913,0.705882353,0.828835227,0.819583019,0.828835227,0.820728851,0.949333249,0.953719511,,,,,,,,,,,,,,
SDNE,0.5,0.5,0.5,0.78313253,0.706521739,0.742857143,0.806818182,0.785823469,0.806818182,0.794428349,0.911277097,0.933673505,,,,,,,,,,,,,,
SDNE,0.833333333,0.5,0.625,0.784090909,0.75,0.766666667,0.816761364,0.805704404,0.816761364,0.80947564,0.940168565,0.949145065,,,,,,,,,,,,,,
SDNE,0.777777778,0.7,0.736842105,0.806818182,0.77173913,0.788888889,0.828835227,0.819291186,0.828835227,0.823444316,0.949377183,0.952145985,,,,,,,,,,,,,,
SDNE,0.666666667,0.8,0.727272727,0.821428571,0.75,0.784090909,0.814630682,0.805289934,0.814630682,0.807616791,0.946639805,0.944793845,,,,,,,,,,,,,,
SDNE,0.714285714,1,0.833333333,0.813186813,0.804347826,0.808743169,0.818181818,0.815453326,0.818181818,0.814993736,0.943660624,0.951825881,,,,,,,,,,,,,,
SDNE,0.727272727,0.8,0.761904762,0.860465116,0.804347826,0.831460674,0.838068182,0.824582464,0.838068182,0.829059572,0.946421984,0.952932208,,,,,,,,,,,,,,
SDNE,0.75,0.6,0.666666667,0.731707317,0.652173913,0.689655172,0.810369318,0.80149528,0.810369318,0.803806509,0.935012222,0.945449218,,,,,,,,,,,,,,
CrossNELP,0.909090909,1,0.952380952,0.913580247,0.804347826,0.855491329,0.947443182,0.946183356,0.947443182,0.944345635,0.994225721,0.993055158,,,,,,,,,,,,,,
CrossNELP,0.833333333,1,0.909090909,0.955555556,0.934782609,0.945054945,0.956676136,0.955137573,0.956676136,0.953600057,0.99755054,0.996609876,,,,,,,,,,,,,,
CrossNELP,0.833333333,1,0.909090909,0.920454545,0.880434783,0.9,0.948863636,0.948603564,0.948863636,0.943439751,0.996214781,0.994900829,,,,,,,,,,,,,,
CrossNELP,1,0.9,0.947368421,0.923076923,0.913043478,0.918032787,0.951704545,0.951825521,0.951704545,0.946733551,0.99558721,0.994611194,,,,,,,,,,,,,,
CrossNELP,0.909090909,1,0.952380952,0.923076923,0.913043478,0.918032787,0.951704545,0.951176362,0.951704545,0.947045418,0.993893477,0.993727614,,,,,,,,,,,,,,
CrossNELP,1,0.4,0.571428571,0.921348315,0.891304348,0.906077348,0.950994318,0.953710779,0.950994318,0.945630663,0.993622435,0.992391755,,,,,,,,,,,,,,
CrossNELP,0.875,0.7,0.777777778,0.951219512,0.847826087,0.896551724,0.933948864,0.930722377,0.933948864,0.923615177,0.993623584,0.992989732,,,,,,,,,,,,,,
CrossNELP,0.8,0.4,0.533333333,0.961538462,0.815217391,0.882352941,0.948153409,0.94866002,0.948153409,0.943618778,0.996386886,0.995435959,,,,,,,,,,,,,,
CrossNELP,0.8,0.8,0.8,0.895833333,0.934782609,0.914893617,0.958096591,0.958304374,0.958096591,0.955613302,0.989462786,0.990145333,,,,,,,,,,,,,,
CrossNELP,0.875,0.7,0.777777778,0.908163265,0.967391304,0.936842105,0.951704545,0.953366953,0.951704545,0.945425751,0.995790594,0.994590422,,,,,,,,,,,,,,
CrossNELP,0.857142857,0.6,0.705882353,0.941176471,0.869565217,0.903954802,0.950994318,0.95073253,0.950994318,0.947153612,0.995909448,0.994704953,,,,,,,,,,,,,,
CrossNELP,0.857142857,0.6,0.705882353,0.923076923,0.913043478,0.918032787,0.943892045,0.94239146,0.943892045,0.936806865,0.992318143,0.990681988,,,,,,,,,,,,,,
CrossNELP,1,1,1,0.975903614,0.880434783,0.925714286,0.946732955,0.947051421,0.946732955,0.938171981,0.99724851,0.996417719,,,,,,,,,,,,,,
CrossNELP,0.909090909,1,0.952380952,0.895833333,0.934782609,0.914893617,0.944602273,0.941097372,0.944602273,0.938752715,0.995166842,0.993898241,,,,,,,,,,,,,,
CrossNELP,0.777777778,0.7,0.736842105,0.941860465,0.880434783,0.91011236,0.939630682,0.938625803,0.939630682,0.930430304,0.993481759,0.992443334,,,,,,,,,,,,,,
CrossNELP,0.888888889,0.8,0.842105263,0.896907216,0.945652174,0.920634921,0.955255682,0.954278602,0.955255682,0.952104302,0.996254357,0.99551132,,,,,,,,,,,,,,
CrossNELP,0.857142857,0.6,0.705882353,0.929292929,1,0.963350785,0.956676136,0.955520453,0.956676136,0.952256647,0.995193793,0.993706029,,,,,,,,,,,,,,
CrossNELP,0.833333333,0.5,0.625,0.926315789,0.956521739,0.941176471,0.949573864,0.947399499,0.949573864,0.944666018,0.991099516,0.990566158,,,,,,,,,,,,,,
CrossNELP,1,0.8,0.888888889,0.951807229,0.858695652,0.902857143,0.950284091,0.950329144,0.950284091,0.945463936,0.994616195,0.994781102,,,,,,,,,,,,,,
CrossNELP,1,0.6,0.75,0.921348315,0.891304348,0.906077348,0.941761364,0.94218162,0.941761364,0.932688019,0.995413506,0.994360448,,,,,,,,,,,,,,
CrossNELP,0.888888889,0.8,0.842105263,0.964285714,0.880434783,0.920454545,0.950994318,0.950877752,0.950994318,0.945713749,0.992615762,0.992346488,,,,,,,,,,,,,,
CrossNELP,1,0.8,0.888888889,0.884210526,0.913043478,0.898395722,0.950284091,0.951082767,0.950284091,0.946312536,0.988220096,0.989265051,,,,,,,,,,,,,,
CrossNELP,1,0.6,0.75,0.833333333,0.869565217,0.85106383,0.9453125,0.944309642,0.9453125,0.942350224,0.991354358,0.991447777,,,,,,,,,,,,,,
CrossNELP,0.833333333,0.5,0.625,0.95505618,0.923913043,0.939226519,0.9453125,0.94371954,0.9453125,0.937984679,0.989941179,0.992477879,,,,,,,,,,,,,,
CrossNELP,1,0.6,0.75,0.956989247,0.967391304,0.962162162,0.957386364,0.955837409,0.957386364,0.953262221,0.989619793,0.99177839,,,,,,,,,,,,,,
CrossNELP,0.888888889,0.8,0.842105263,0.905263158,0.934782609,0.919786096,0.956676136,0.956021963,0.956676136,0.954167791,0.994288318,0.993813608,,,,,,,,,,,,,,
CrossNELP,1,0.8,0.888888889,0.924050633,0.793478261,0.85380117,0.9375,0.936591453,0.9375,0.929307348,0.9909846,0.991980207,,,,,,,,,,,,,,
CrossNELP,0.9,0.9,0.9,0.913043478,0.913043478,0.913043478,0.956676136,0.9559442,0.956676136,0.954574084,0.995732614,0.995143554,,,,,,,,,,,,,,
